#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
150 	               0 	               0 	              -1
300 	               0 	               0 	              -1
450 	               0 	               0 	              -1
600 	               0 	               0 	              -1
750.00002 	               0 	               0 	              -1
900 	               0 	               0 	              -1
1050 	               0 	               0 	              -1
1200 	               0 	               0 	              -1
1350.0001 	               0 	               0 	              -1
1500 	               0 	               0 	              -1
1650 	               0 	               0 	              -1
1800 	               0 	               0 	              -1
1950 	               0 	               0 	              -1
2100 	               0 	               0 	              -1
2250 	               0 	               0 	              -1
2400 	               0 	               0 	              -1
2550 	               0 	               0 	              -1
2700 	               0 	               0 	              -1
2850 	               0 	               0 	              -1
3000 	               0 	               0 	              -1
